TimeIST,TemperatureC,Dew PointC,Humidity,Wind SpeedKm/h,Gust SpeedKm/h,Wind DirectionDe,Wind Direction,VisibilityKm,Sea Level PressurehPa,Events,Heatindex,Precipitationmm,Conditions
2013-08-03T02:30:00.000000+0530,23,22,90,14.8,,200,SSW,4,1009,-999,-9999,,Haze
2013-08-03T05:30:00.000000+0530,23,20,79,11.1,,250,WSW,4,1008,-999,-9999,,Haze
2013-08-03T08:30:00.000000+0530,25,21,78,11.1,,230,SW,4,1009,-999,-9999,,Haze
2013-08-03T11:30:00.000000+0530,28,21,59,24.1,,200,SSW,4,1008,-999,-9999,,Haze
2013-08-03T14:30:00.000000+0530,31,19,40,27.8,,230,SW,4,1006,-999,-9999,,Haze
2013-08-03T17:30:00.000000+0530,27,20,55,20.4,,200,SSW,4,1006,-999,-9999,,Haze
2013-08-03T20:30:00.000000+0530,24,22,83,11.1,,200,SSW,4,1009,-999,-9999,,Haze
2013-08-03T23:30:00.000000+0530,24,22,86,11.1,,200,SSW,4,1010,-999,-9999,,Haze
2013-08-04T02:30:00.000000+0530,24,21,74,22.2,,200,SSW,4,1006,-999,-9999,,Haze
2013-08-04T08:30:00.000000+0530,24,22,79,9.3,,180,South,4,1009,-999,-9999,,Haze
2013-08-04T14:30:00.000000+0530,29,22,54,14.8,,200,SSW,4,1005,-999,-9999,,Light Drizzle
2013-08-04T17:30:00.000000+0530,27,23,70,18.5,,200,SSW,4,1005,-999,-9999,,Haze
2013-08-04T20:30:00.000000+0530,24,22,84,22.2,,200,SSW,4,1008,-999,-9999,,Haze
2013-08-04T23:30:00.000000+0530,23,22,89,20.4,,200,SSW,4,1010,-999,-9999,,Haze
